Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
Using Microservices for Rapid Creation of Remote Sensing Products,B. Xiang; Z. Li; Y. Liu; H. Zhang,NA; NA; NA; NA,2018 IEEE International Conference on Software Architecture Companion (ICSA-C),,2018,,,111,114,,,,10.1109/ICSA-C.2018.00037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432192,Microservices;Software Architecture;Satellite Remote Sensing,Sensors;Cultural differences;Remote sensing;Satellites;Monitoring;Portals;Computer architecture,archaeology;data visualisation;geophysics computing;remote sensing;town and country planning,divide-and-conquer strategy;archaeological detection;cultural heritage protection;urban planning;land use;tools;fundamental source codes;project-by-project basis;legacy monolithic product line;remote sensing software systems;sensing data products;thematic products;relevant microservices;data-analytics-visualization pattern;microservice-oriented product line;satellite remote sensing products;component business capacities,,,,,,,,,IEEE,IEEE Conferences,
Microservices architecture: Case on the migration of reservation-based parking system,P. Yugopuspito; F. Panduwinata; S. Sutrisno,Univ. Pelita Harapan; Tangerang; Indonesia; Univ. Pelita Harapan; Tangerang; Indonesia; Univ. Pelita Harapan; Tangerang; Indonesia,2017 IEEE 17th International Conference on Communication Technology (ICCT),,2017,,,1827,1831,,,,10.1109/ICCT.2017.8359946,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359946,parking system;monolith;microservice;refinement,Task analysis;Logic gates;Service-oriented architecture;Contracts;Servers;Authorization,business data processing;service-oriented architecture;traffic engineering computing;Web services,microservice architecture;monolith architecture;services-oriented architecture;reservation-based parking system migration;Web-based technology;business process changes;user experiences,,,,,,,,,IEEE,IEEE Conferences,
A Reusable Automated Acceptance Testing Architecture for Microservices in Behavior-Driven Development,M. Rahman; J. Gao,NA; NA,2015 IEEE Symposium on Service-Oriented System Engineering,,2015,,,321,325,,,,10.1109/SOSE.2015.55,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7133548,executable automated acceptance testing; Gherkin; functional testing; behavior-driven development; microservice,Data structures;Boolean functions;Business;Testing;Software;Maintenance engineering,cloud computing;mobile computing;program testing;software prototyping,reusable automated acceptance testing architecture;cloud computing;mobile cloud computing;behavior-driven development;agile software development process;BDD test framework,,,,,,,,,IEEE,IEEE Conferences,
Telecom microservices orchestration,D. Luong; H. Thieu; A. Outtagarts; B. Mongazon-Cazavet,Software Defined Mobile Network (SDMN) Team; Nokia Bell Labs; Route de Villejust; 91620 Nozay; France; Software Defined Mobile Network (SDMN) Team; Nokia Bell Labs; Route de Villejust; 91620 Nozay; France; Software Defined Mobile Network (SDMN) Team; Nokia Bell Labs; Route de Villejust; 91620 Nozay; France; Software Defined Mobile Network (SDMN) Team; Nokia Bell Labs; Route de Villejust; 91620 Nozay; France,2017 IEEE Conference on Network Softwarization (NetSoft),,2017,,,1,2,,,,10.1109/NETSOFT.2017.8004255,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004255,Future Mobile Network;NFV;Microservices;Container,Containers;Cloud computing;Mobile computing;5G mobile communication;Telecommunications,cloud computing;mobile communication;operating systems (computers);radio networks;telecommunication computing;virtualisation,telecom microservices orchestration;cloud infrastructure;distributed software components;network function virtualization;operating system;computing servers;microservice platform;telecom networks;Docker orchestration;wireless network infrastructure,,,,,,,,,IEEE,IEEE Conferences,
Migrating web applications to clouds with microservice architectures,J. Lin; L. C. Lin; S. Huang,Department of Information Management; Ming Chuan University; Taoyuan; Taiwan; Department of Information Management; Ming Chuan University; Taoyuan; Taiwan; Department of Information Management; Ming Chuan University; Taoyuan; Taiwan,2016 International Conference on Applied System Innovation (ICASI),,2016,,,1,4,,,,10.1109/ICASI.2016.7539733,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539733,Cloud computing;migration method;Web application;microservice architecture,Decision support systems;Google;Engines;Decision making;Engineering profession,cloud computing;service-oriented architecture;Web services,Web applications;microservice architectures;cloud computing technologies;cloud applications;business values promotion;migration method,,,,,,,,,IEEE,IEEE Conferences,
Actor Based Business Process Modeling and Execution: A Reference Implementation Based on Ontology Models and Microservices,M. Geisriegler; M. Kolodiy; S. Stani; R. Singer,NA; NA; NA; NA,2017 43rd Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,2017,,,359,362,,,,10.1109/SEAA.2017.39,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8051371,Workflow;Software;Microservice;Actor;S-BPM;Architecture,Computer architecture;OWL;Computational modeling;Business process management;Standards,business process re-engineering;knowledge representation languages;ontologies (artificial intelligence);software architecture,actor based business process modeling;actor based business process execution;ontology models;microservices;reference architecture;subject-oriented business process management;S-BPM;Web ontology language;OWL,,,,,,,,,IEEE,IEEE Conferences,
Lihonga — A Microservice-Based Virtual Learning Environment,S. Kapembe; J. Quenum,NA; NA,2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT),,2018,,,98,100,,,,10.1109/ICALT.2018.00030,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8433465,microservices;architecture;virtual learning environment;api gateway;kafka;docker,Computer architecture;Logic gates;Electronic learning;Software;Testing;Tools;Production,computer aided instruction;mobile computing;virtual reality,Lihonga;microservice-based virtual learning environment;modern applications;eLearning;mobile devices;educational content;mobile-friendly microservice-based VLE;microservice architectural style;modern technologies;microservice architecture;MongoDB;Node.js,,,,,,,,,IEEE,IEEE Conferences,
Monolithic to microservices redesign of event driven integration platform,E. Djogic; S. Ribic; D. Donko,Mistral technologies Inc; Sarajevo; Bosnia and Herzegovina; Faculty of Electrical Engineering; Sarajevo; Bosnia and Herzegovina; Faculty of Electrical Engineering; Sarajevo; Bosnia and Herzegovina,2018 41st International Convention on Information and Communication Technology; Electronics and Microelectronics (MIPRO),,2018,,,1411,1414,,,,10.23919/MIPRO.2018.8400254,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400254,Microservices;SOA;integration platform;Real estate,Service-oriented architecture;Business;Computer architecture;Maintenance engineering;Databases;Monitoring,service-oriented architecture;Web services,architectural redesign;SOA integration platform;service oriented architecture;event driven integration platform;microservice design;real estate sector;monolithic design;SOA platform,,,,,,,,,IEEE,IEEE Conferences,
DevOps as a Service: Pushing the Boundaries of Microservice Adoption,D. Trihinas; A. Tryfonos; M. D. Dikaiakos; G. Pallis,University of Cyprus; University of Cyprus; University of Cyprus; University of Cyprus,IEEE Internet Computing,,2018,22,3,65,71,,,,10.1109/MIC.2018.032501519,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8379534,Devops;Cloud Computing;internet;internet computing,Software development;Cloud computing;Internet;Computer security;Runtime;Privacy,service-oriented architecture;software engineering,microservice adoption;software teams;DevOps,,,,,,,,,IEEE,IEEE Journals & Magazines,
ABS microservices and ontology-zotonic integration for SPL implementation in information system,A. Kurniawan; I. Afriyanti; A. Azurat,Faculty of Computer Science; Universitas Indonesia; West Java; Indonesia; Faculty of Computer Science; Universitas Indonesia; West Java; Indonesia; Faculty of Computer Science; Universitas Indonesia; West Java; Indonesia,2017 International Conference on Advanced Computer Science and Information Systems (ICACSIS),,2017,,,131,136,,,,10.1109/ICACSIS.2017.8355023,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355023,,Web services;Adaptation models;Business;Information systems;Ontologies;Object oriented modeling;OWL,formal specification;information systems;object-oriented methods;object-oriented programming;ontologies (artificial intelligence);service-oriented architecture;software cost estimation;software product lines,SPL implementation;Software Product Line;development process;feature diagram;SPL approach;information system development;ontology language;executable modelling language;distributed object-oriented systems;microservices-based software variabilities;ABS Microservices Framework;ontology-zotonic integration;Abstract Behavioural Specification,,,,,,,,,IEEE,IEEE Conferences,
Deep Customization of Multi-tenant SaaS Using Intrusive Microservices,H. Song; F. Chauvel; A. Solberg,NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering: New Ideas and Emerging Technologies Results (ICSE-NIER),,2018,,,97,100,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8444848,Customization;SaaS;Multi tenancy;Architecture style,Software engineering,cloud computing;public domain software,cloud-based multitenant SaaS;Software as a Service;open source online commercial system;enterprise software;intrusive microservices;deep customization,,,,,,,,,IEEE,IEEE Conferences,
A mapping study on microservice architectures of Internet of Things and cloud computing solutions,G. Campeanu,Mälardalen Real-Time Research Center; Mälardalen University; Västerås; Sweden,2018 7th Mediterranean Conference on Embedded Computing (MECO),,2018,,,1,4,,,,10.1109/MECO.2018.8406008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406008,Internet of Things;microservice;cloud computing;IoT;SLR;systematic mapping study,Cloud computing;Internet of Things;Computer architecture;Embedded computing;Market research;Systematics;Libraries,cloud computing;Internet of Things;software architecture,IoT challenges;on-demand resources;easy-to-access manner;microservice architectures;cloud computing solutions;wireless systems;Internet of Things,,,,,,,,,IEEE,IEEE Conferences,
Graph-based IoT microservice security,M. Pahl; F. Aubet; S. Liebald,Technical University of Munich; Technical University of Munich; Technical University of Munich,NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium,,2018,,,1,3,,,,10.1109/NOMS.2018.8406118,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406118,IoT;security;passive monitoring;firewall;mi-croservices;autonomous service management;unattended nodes,Security;Monitoring;Internet of Things;Washing machines;Service-oriented architecture;Batteries;Topology,authorisation;data privacy;firewalls;graph theory;Internet of Things;service-oriented architecture,graph-based IoT microservice security;Service Oriented Architecture;IoT system security;graph-based access control;firewalls inter-service communication;Internet of Things;data privacy,,,,,,,,,IEEE,IEEE Conferences,
Poster: A Declarative Approach for Updating Distributed Microservices,F. Boyer; X. Etchevers; N. de Palma; X. Tao,NA; NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),,2018,,,392,393,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449592,Microservice;Continuous Delivery;Dynamic Update;Architecture based Management;DevOps,Computer architecture;Tools;Robustness;Platform as a service;Gold,distributed processing;information systems;service-oriented architecture,SLA requirements;poster;declarative approach;microservice architectures;DevOps teams;microservice application;IT organizations;target architecture;distributed microservices update,,,,,,,,,IEEE,IEEE Conferences,
Orchestration of Microservices for IoT Using Docker and Edge Computing,M. Alam; J. Rufino; J. Ferreira; S. H. Ahmed; N. Shah; Y. Chen,NA; NA; NA; NA; NA; NA,IEEE Communications Magazine,,2018,56,9,118,123,,,,10.1109/MCOM.2018.1701233,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466366,,Computer architecture;Cloud computing;Logic gates;Virtualization;Topology;Edge computing;Fault tolerance,computer network reliability;cyber-physical systems;distributed processing;fault tolerant computing;Internet of Things;protocols;virtualisation,Internet of Things;heterogeneous networks;communication subsystem;dynamic system;redundant architecture;microservice orchestration;protocols;information caching;application logic;system availability;fault tolerance;lightweight virtualization;scalable architecture;modular architecture;caching information;edge computing;cyber-physical applications;future IoT architectures;reliability;ultra-high availability;abstracting services;connected devices;Docker;different architecture layers;on-demand services deployment;system performance,,,,,,,,,IEEE,IEEE Journals & Magazines,
